nome,cpf,idade,data,endereco,estado
Srta. Luna Peixoto,912.405.387-23,53,14/12/1970,"fazenda rafaela costela, 37
havaí
52291-254 rocha / ce",AMAPÁ
Sr. Igor Campos,183.502.746-62,54,17/08/1969,"fazenda ferreira, 849
lagoa
49587-081 vieira do norte / ap",TOCANTINS
Maria Sophia Correia,948.731.065-75,98,03/10/1925,"residencial alana dias, 51
vitoria
01961759 gomes de da cruz / to",TOCANTINS
Bruno Da Cruz,293.415.687-73,22,02/06/2001,"rua evelyn da cunha, 2
alta tensão 1ª seção
88048-422 da rocha do amparo / es",ESPÍRITO SANTO
Amanda Cavalcanti,351.698.247-00,55,13/12/1968,"fazenda de duarte, 99
são sebastião
38375-389 pires / ac",RORAIMA
Bruno Melo,721.469.053-52,58,26/06/1965,"trevo de da costa, 7
esplanada
45022-514 fernandes de costela / ac",RORAIMA
Dra. Elisa Nunes,875.013.249-05,35,12/01/1989,"vale erick moreira, 48
vila nova cachoeirinha 2ª seção
07868-934 da cunha / ap",RIO GRANDE DO NORTE
Calebe Ramos,942.816.307-40,59,05/05/1964,"parque de moraes, 36
gutierrez
82171525 peixoto de fernandes / to",RIO GRANDE DO SUL
Sr. Arthur Moraes,306.927.841-87,80,01/10/1943,"passarela lima, 87
jatobá
09721-169 viana alegre / rj",RORAIMA
Júlia Silveira,913.476.508-57,73,18/11/1950,"pátio vitor gabriel rocha
são joão batista
91484973 pereira da prata / sc",RIO DE JANEIRO
Sra. Isabelly Silva,732.568.049-00,34,28/08/1989,"rodovia agatha lopes, 7
vila são gabriel
31198992 da luz / df",PARÁ
Dr. Otávio Azevedo,457.821.069-30,79,09/11/1944,"aeroporto de ferreira, 2
santa helena
28302071 oliveira das flores / ce",PERNAMBUCO
Maria Cecília Aragão,264.571.809-49,99,09/01/1925,"trevo aragão, 535
salgado filho
51800-056 carvalho da prata / go",SÃO PAULO
Noah Da Rosa,742.960.813-22,58,02/05/1965,"avenida ferreira, 7
antonio ribeiro de abreu 1ª seção
17090-502 rodrigues / df",PERNAMBUCO
Sra. Laura Azevedo,540.326.187-71,37,16/06/1986,"viaduto marcelo ramos
universo
53602-558 cunha do galho / sp",RIO GRANDE DO NORTE
Dr. Francisco Moreira,702.483.165-08,24,25/08/1999,"núcleo silva, 7
jaraguá
74430032 silveira de goiás / ce",RONDÔNIA
Mariane Das Neves,912.546.308-05,44,27/10/1979,"rodovia de freitas, 782
parque são josé
53886812 das neves das flores / sc",PIAUÍ
Enzo Monteiro,309.546.872-56,33,15/09/1990,"quadra silveira, 76
joão paulo ii
90482-858 rezende dos dourados / mg",PIAUÍ
Diego Da Rocha,093.845.726-83,36,24/01/1988,"conjunto da rosa, 22
pindura saia
13568-214 ramos da serra / ms",PIAUÍ
Ana Laura Da Cruz,798.526.104-49,86,28/04/1937,"parque rodrigues
vila da amizade
99639-698 costa / ro",ESPÍRITO SANTO
Ana Sophia Gomes,384.961.725-46,44,27/07/1979,"lagoa porto, 44
unidas
73111211 alves / go",PERNAMBUCO
Ana Laura Costa,502.176.894-85,52,17/08/1971,"vila sales, 913
bela vitoria
24276968 monteiro / sp",RIO GRANDE DO SUL
Felipe Souza,187.950.346-84,55,30/09/1968,"setor peixoto, 47
palmeiras
57575529 da cruz / se",PARÁ
Luana Novaes,287.430.169-87,78,05/12/1945,"parque luiz gustavo da conceição, 34
santa margarida
94925-425 rodrigues alegre / rs",CEARÁ
Sra. Yasmin Nogueira,360.925.841-15,48,29/10/1975,"lago de rocha, 482
belmonte
74471-918 rocha da mata / pe",GOIÁS
Benício Melo,904.652.781-67,21,07/12/2002,"recanto maitê pereira
vila suzana primeira seção
94645-027 silva / df",RIO GRANDE DO NORTE
Daniela Aragão,726.304.851-53,58,06/07/1965,"feira otávio pereira, 93
piraja
78140-773 correia / rr",PARAÍBA
Davi Luiz Sales,740.692.138-13,44,24/07/1979,"trecho joão gabriel pires, 64
nova pampulha
61230820 souza da serra / rs",AMAPÁ
Milena Souza,904.358.126-70,85,08/10/1938,"praça de ribeiro, 9
santa inês
38053-049 azevedo / sp",BAHIA
Maria Eduarda Ferreira,438.256.190-60,74,28/09/1949,"passarela de caldeira
vila sesc
50710-500 cunha de dias / ap",RONDÔNIA
Sr. Diogo Lima,302.846.957-00,29,06/12/1994,"estrada danilo monteiro
conjunto califórnia ii
38793-887 da mata alegre / ba",MATO GROSSO
Dr. Carlos Eduardo Araújo,496.802.735-47,39,09/11/1984,"rodovia sophia rodrigues, 88
vila independencia 2ª seção
76814388 pires / rr",PARANÁ
Marina Gomes,934.587.620-00,98,25/12/1925,"lagoa souza
copacabana
16768543 monteiro / es",SANTA CATARINA
Gustavo Henrique Duarte,254.130.968-60,23,29/05/2000,"área ana sophia pereira, 32
minas caixa
69026-029 caldeira do oeste / to",MINAS GERAIS
Caio Ramos,832.941.657-73,27,06/11/1996,"viaduto de sales, 92
buraco quente
13458-643 nunes / al",PARAÍBA
Rafael Nunes,462.971.358-19,88,10/04/1935,"núcleo monteiro, 504
são bernardo
15990-096 porto / to",MATO GROSSO
Enzo Gabriel Cardoso,726.801.549-67,37,26/01/1987,"núcleo ribeiro
vila nova cachoeirinha 1ª seção
13917300 ferreira das flores / pe",SÃO PAULO
Davi Cardoso,065.781.243-90,18,25/07/2005,"praça ana júlia rezende, 38
vila coqueiral
41709963 silveira / pa",RIO GRANDE DO SUL
Daniel Pires,274.530.968-47,39,13/06/1984,"avenida bruna rodrigues, 724
diamante
12678-518 rezende do galho / es",PARAÍBA
Brenda Da Mata,532.841.679-19,44,29/02/1980,"pátio rocha, 75
havaí
43098627 da cunha / ac",CEARÁ
Samuel Dias,852.910.634-24,38,17/11/1985,"viaduto enzo gabriel moreira, 72
vila real 2ª seção
01069636 sales de goiás / ce",RIO GRANDE DO NORTE
Gustavo Henrique Da Costa,917.230.485-50,19,08/03/2005,"residencial ribeiro, 60
flamengo
74294090 ribeiro / ro",ALAGOAS
Theo Fogaça,091.584.236-05,48,26/06/1975,"travessa cardoso, 95
alta tensão 1ª seção
42836-344 lima / mt",ACRE
Sra. Alexia Carvalho,483.106.527-71,24,31/03/2000,"quadra lorenzo pires
vila olhos d'água
03485618 da rosa de correia / ac",RONDÔNIA
Juliana Martins,432.807.956-56,84,04/06/1939,"campo de souza
vila jardim são josé
04692667 carvalho / rr",BAHIA
Luiz Gustavo Da Rosa,280.753.914-97,85,09/06/1938,"via de da paz, 5
dona clara
30465-337 oliveira de goiás / al",PARANÁ
Gabriela Freitas,367.520.481-26,30,10/03/1994,"trevo carvalho, 9
grajaú
40077-715 moraes da serra / ba",RIO GRANDE DO NORTE
Enzo Gabriel Vieira,812.564.079-76,22,28/01/2002,"travessa novaes
boa vista
29032951 aragão / to",RIO DE JANEIRO
Srta. Luna Nascimento,815.732.049-60,69,13/06/1954,"passarela de nascimento, 916
joão paulo ii
86360-200 duarte do amparo / al",RIO DE JANEIRO
Sophie Da Mata,971.238.045-97,70,10/04/1953,"avenida de almeida, 78
vila atila de paiva
41400947 da cunha / al",MARANHÃO
Clarice Alves,973.846.520-65,22,02/12/2001,"avenida heloísa costa
cabana do pai tomás
54742254 cavalcanti / ac",MATO GROSSO
Catarina Rodrigues,138.640.975-84,84,26/11/1939,"núcleo farias, 97
lourdes
55915-124 gomes de souza / rr",PARANÁ
Antônio Vieira,017.236.854-53,89,25/10/1934,"favela de lopes, 473
lagoinha leblon
41398-890 peixoto / pr",SERGIPE
Dr. Nicolas Da Conceição,105.236.748-80,25,04/06/1998,"quadra mariana costela, 87
grajaú
64615642 ferreira / ba",RORAIMA
Maria Alice Da Costa,290.738.654-92,88,17/02/1936,"rua cardoso, 76
olhos d'água
25842688 barros alegre / ma",AMAPÁ
Sr. Lucca Martins,906.435.128-70,56,30/08/1967,"pátio paulo da rosa, 93
belvedere
57898-196 melo / to",TOCANTINS
João Pedro Costa,532.940.718-41,68,12/09/1955,"feira cardoso
conjunto minas caixa
88969-195 da mata / rn",CEARÁ
Maitê Gonçalves,034.719.856-20,97,20/09/1926,"distrito giovanna rodrigues, 37
marieta 3ª seção
62839-349 da mata / pr",ACRE
Ana Laura Ferreira,326.490.578-74,72,29/01/1952,"estrada de ramos
garças
28169898 santos das pedras / ro",PARANÁ
Sabrina Da Mata,172.548.960-02,30,31/01/1994,"viela de moraes, 56
vila maria
42762903 fogaça de goiás / ms",RIO GRANDE DO SUL
Alexandre Das Neves,183.904.625-24,93,19/07/1930,"área de novaes, 52
itapoa
66232412 fogaça do oeste / es",ACRE
Isadora Da Cunha,471.928.063-31,54,31/08/1969,"viaduto freitas, 622
jardim atlântico
10686-144 da rocha paulista / pe",MINAS GERAIS
Dr. Luigi Fernandes,834.265.197-55,72,16/07/1951,"distrito thomas pires, 77
bairro das indústrias ii
44279-855 da cunha / mt",AMAPÁ
Sr. Yago Cavalcanti,758.901.423-05,93,01/03/1931,"estrada melo
vila independencia 3ª seção
33664610 cardoso / am",AMAPÁ
Carolina Peixoto,396.720.418-96,63,26/06/1960,"loteamento dias, 21
camponesa 1ª seção
82741936 da rosa / rn",AMAZONAS
Ana Lívia Porto,067.412.835-44,74,26/09/1949,"colônia vieira, 6
milionario
96648865 moraes / se",MATO GROSSO DO SUL
Henrique Da Mata,896.724.305-74,33,25/12/1990,"aeroporto vinicius rezende, 18
conjunto são francisco de assis
55527-291 da paz do campo / pr",RIO DE JANEIRO
Enrico Aragão,490.851.376-75,93,30/06/1930,"praça almeida, 95
vila novo são lucas
69709-867 moraes / ap",BAHIA
Milena Cavalcanti,523.064.179-70,25,15/09/1998,"trecho kevin castro, 70
são geraldo
98131993 sales / pr",TOCANTINS
Davi Lucca Melo,731.984.025-14,96,22/02/1928,"passarela kamilly moreira, 704
cardoso
41864-156 da cunha / sp",GOIÁS
Clarice Fernandes,192.763.485-73,87,27/12/1936,"vereda jesus, 7
esplanada
50230404 teixeira verde / sp",PARÁ
Dr. Luiz Fernando Das Neves,146.387.259-37,58,21/02/1966,"viaduto de martins, 24
vila antena
55987-196 araújo do amparo / ro",CEARÁ
Caio Azevedo,428.759.361-82,73,04/03/1951,"largo cardoso, 23
vila nova gameleira 2ª seção
29717727 ferreira / al",SÃO PAULO
Enrico Novaes,457.692.038-38,73,08/11/1950,"vila heloísa barbosa, 666
conjunto são francisco de assis
19537340 farias / rn",PARÁ
Ana Clara Moreira,075.412.368-53,87,15/12/1936,"residencial de aragão
andiroba
91004-368 cardoso / sc",PIAUÍ
Enrico Ribeiro,965.734.108-66,26,24/02/1998,"loteamento lopes, 2
vila satélite
54279721 ramos da prata / ce",PARANÁ
Evelyn Aragão,548.372.061-07,85,19/04/1938,"estrada rebeca caldeira, 440
marçola
11027-170 freitas grande / go",ESPÍRITO SANTO
Thales Moreira,406.135.728-07,63,31/07/1960,"quadra farias
jardim guanabara
71294724 caldeira / ro",RORAIMA
Heitor Mendes,097.426.351-61,56,13/01/1968,"lagoa de farias
alta tensão 2ª seção
86838429 pires / al",AMAZONAS
Sarah Nascimento,938.574.026-10,40,14/05/1983,"largo de da costa, 400
vila jardim alvorada
20608-388 cardoso de cardoso / ce",RONDÔNIA
Sra. Yasmin Melo,510.274.968-49,18,22/07/2005,"loteamento almeida, 821
conjunto santa maria
15401946 nunes de goiás / to",PERNAMBUCO
Sr. Marcelo Costela,895.603.427-38,23,16/08/2000,"chácara clarice da costa, 135
cardoso
90569-230 da luz verde / ba",PIAUÍ
Maria Cecília Araújo,752.943.601-52,76,20/03/1948,"distrito nathan melo, 3
universitário
45685584 almeida / pa",MINAS GERAIS
Enzo Gabriel Ribeiro,965.231.708-02,63,20/06/1960,"recanto nunes, 87
vila união
40623-455 moura / ap",RORAIMA
Miguel Da Rosa,168.907.235-03,43,24/04/1980,"esplanada carvalho, 8
paulo vi
43997-378 correia / ce",GOIÁS
Maria Vitória Ferreira,914.863.027-69,23,09/11/2000,"lago lima, 6
providencia
64509-958 porto / sp",CEARÁ
Sr. Vitor Gabriel Gomes,348.902.157-60,48,29/11/1975,"vale costela, 49
jonas veiga
14400-610 nogueira / mt",ALAGOAS
Bianca Pinto,541.908.362-06,80,29/05/1943,"lagoa sales, 43
vila santa monica 2ª seção
48899443 jesus / al",GOIÁS
Igor Melo,519.307.648-39,97,31/03/1927,"viaduto nogueira
grota
13502920 ferreira do norte / ro",SÃO PAULO
Sra. Vitória Carvalho,528.049.736-38,35,20/02/1989,"jardim fernanda moura, 767
cdi jatoba
32504010 moreira dos dourados / am",MATO GROSSO
Sofia Duarte,412.835.697-28,18,09/07/2005,"morro isaac freitas, 543
vila nova cachoeirinha 2ª seção
97116686 costela / rr",RIO GRANDE DO NORTE
Brenda Nogueira,160.294.358-33,56,23/07/1967,"pátio de almeida, 4
mala e cuia
08990015 aragão da mata / to",AMAZONAS
Rafael Fogaça,569.137.028-68,93,04/03/1931,"setor de da rosa, 401
nova vista
61631-368 cavalcanti do amparo / sp",MARANHÃO
Ana Nascimento,295.701.634-61,72,22/11/1951,"chácara de martins, 14
nossa senhora do rosário
72885-747 moreira / rn",AMAPÁ
Dr. Juan Da Rocha,475.683.021-80,74,02/10/1949,"ladeira de da mota, 16
vila jardim leblon
67696-414 nascimento do amparo / mt",AMAZONAS
Ana Laura Rocha,531.672.409-70,32,11/01/1992,"sítio thomas rodrigues, 41
são damião
21922138 pinto / al",PIAUÍ
Maria Alice Da Rocha,906.324.817-22,90,22/12/1933,"travessa de correia, 46
guarani
34453-251 souza / ac",SÃO PAULO
Elisa Lopes,790.412.658-30,99,02/07/1924,"passarela alexandre da cunha
vila coqueiral
15467-423 cunha / rr",MATO GROSSO
Davi Lucca Pereira,597.038.421-60,70,28/01/1954,"jardim de barros, 16
vila califórnia
19490812 teixeira alegre / ce",AMAZONAS
Marina Fogaça,410.275.689-20,61,07/04/1962,"praça luiz henrique correia, 81
guaratã
57294-260 pereira / pe",GOIÁS
Bernardo Ramos,105.689.243-98,80,03/09/1943,"lagoa luiza gonçalves, 979
piratininga
04066541 da mata / se",AMAPÁ
Ana Lívia Lopes,971.503.862-02,63,10/11/1960,"parque de barbosa, 57
anchieta
16750-400 lima / go",CEARÁ
Miguel Silva,920.437.568-00,40,28/02/1984,"ladeira das neves, 9
nova floresta
61985548 carvalho do sul / pe",RONDÔNIA
Sr. Arthur Da Cruz,693.084.275-38,83,24/06/1940,"lago de cavalcanti
vila betânia
10086-430 nunes / to",SERGIPE
Julia Da Mota,571.402.968-20,75,30/09/1948,"feira nogueira, 68
santo antônio
23309816 da cunha do campo / to",RIO DE JANEIRO
Agatha Rocha,853.279.160-30,52,01/11/1971,"setor de dias
são benedito
48841767 sales da serra / rs",ALAGOAS
Isabel Cardoso,608.127.493-40,95,11/08/1928,"campo da mata, 42
morro dos macacos
65731-340 santos / mg",MATO GROSSO DO SUL
Marcos Vinicius Moura,451.293.876-19,64,29/11/1959,"parque dias, 687
paulo vi
49685-024 mendes / pr",RIO DE JANEIRO
Levi Da Cunha,718.469.350-75,98,28/04/1925,"colônia de viana, 6
pongelupe
67120-856 jesus alegre / se",ALAGOAS
Cauã Vieira,427.103.569-61,76,29/07/1947,"via da mata
bernadete
38006-140 campos / ro",PIAUÍ
Maria Alice Ferreira,105.239.746-80,37,01/05/1986,"praça de duarte, 194
guarani
14287-231 campos das flores / mt",AMAPÁ
Dra. Isabelly Souza,725.469.810-30,33,23/05/1990,"campo de moura, 60
primeiro de maio
96794431 martins grande / rn",DISTRITO FEDERAL
Heitor Rezende,174.689.053-39,72,28/09/1951,"área duarte, 628
conjunto lagoa
02753538 caldeira / rr",ACRE
Maria Vitória Jesus,493.861.520-70,47,16/02/1977,"sítio de moura, 13
paraíso
39110-733 souza do norte / rs",RORAIMA
Emanuel Duarte,762.084.591-76,21,23/02/2003,"rua de fogaça, 71
ouro preto
35703-947 da paz da mata / am",SANTA CATARINA
Ian Lima,163.458.907-66,86,05/07/1937,"rua de martins, 9
união
15652-188 castro / ac",RORAIMA
Vitor Alves,687.901.342-22,27,13/06/1996,"esplanada ana laura oliveira, 667
ribeiro de abreu
79395-958 farias das flores / df",DISTRITO FEDERAL
Rafael Ramos,946.581.073-84,69,17/05/1954,"esplanada almeida, 4
vila fumec
39123310 silveira grande / pr",ALAGOAS
Ryan Da Cunha,412.637.059-52,86,04/11/1937,"morro de cardoso
camponesa 2ª seção
49627-572 dias de da paz / go",SERGIPE
Maria Da Cunha,539.201.486-06,77,07/10/1946,"residencial de duarte
vila união
83800-181 jesus do sul / pe",RIO DE JANEIRO
Srta. Milena Cardoso,832.047.961-40,66,07/03/1958,"praça almeida, 71
capitão eduardo
13730300 ferreira dos dourados / rj",BAHIA
Bryan Ramos,043.619.582-89,30,30/10/1993,"praia costa, 35
jardim leblon
29456317 lopes / go",RORAIMA
Luigi Santos,273.940.165-52,37,04/01/1987,"via luigi peixoto, 61
são gabriel
48847273 porto da mata / ap",AMAPÁ
Isabella Duarte,023.856.714-17,43,28/09/1980,"estrada diogo da mata, 91
vila nova cachoeirinha 3ª seção
89436-034 vieira do oeste / pi",ESPÍRITO SANTO
Sophie Azevedo,214.796.580-49,97,11/08/1926,"rua kaique freitas, 8
universo
75626-745 barros / rr",AMAZONAS
Matheus Carvalho,592.863.174-09,60,31/08/1963,"viela de almeida
união
65843844 barbosa / rn",MINAS GERAIS
Júlia Da Cruz,714.093.856-39,94,12/02/1930,"lagoa joão pedro alves
das industrias i
30340295 oliveira de goiás / pb",GOIÁS
Vitor Peixoto,489.215.063-06,76,24/07/1947,"trevo de cardoso, 40
vale do jatoba
22565-264 da cunha do norte / rs",MATO GROSSO DO SUL
Amanda Castro,305.817.249-41,43,05/04/1980,"favela erick pereira, 672
vila copacabana
16489668 barros / am",RORAIMA
Lucas Lima,240.719.568-01,91,16/06/1932,"vale igor castro, 928
maravilha
19728761 pereira do oeste / ba",BAHIA
Raquel Ramos,052.793.146-25,66,16/10/1957,"vereda de costa, 27
madre gertrudes
11830634 gonçalves / rn",RORAIMA
Dra. Rebeca Nascimento,431.987.625-37,82,07/04/1941,"residencial nogueira, 954
vila oeste
79622-042 sales do norte / pb",TOCANTINS
Theo Da Conceição,846.571.329-46,29,22/03/1995,"fazenda maria ribeiro, 81
vila são paulo
48192917 silva / se",ACRE
Thiago Da Cunha,631.409.258-24,90,08/06/1933,"viela de aragão, 291
união
68336231 moraes de pires / rj",RONDÔNIA
Davi Lucas Moreira,169.854.207-02,59,30/12/1964,"estrada de da costa, 92
vila do pombal
01699471 nascimento de cavalcanti / pa",SERGIPE
Helena Costela,950.372.681-68,28,01/02/1996,"colônia de fogaça, 78
vila aeroporto jaraguá
63760-406 rezende da praia / ac",RORAIMA
Beatriz Peixoto,243.718.069-96,80,11/04/1943,"campo de moura, 904
alto caiçaras
12573-093 da costa de souza / pe",BAHIA
Luigi Fernandes,846.057.921-20,48,02/02/1976,"estação igor cunha, 21
pilar
56540380 peixoto / pb",RORAIMA
Gabrielly Almeida,831.540.927-14,66,11/01/1958,"estrada da conceição, 23
indaiá
00460-397 pires de pereira / ms",PARÁ
Samuel Sales,439.526.781-55,75,19/08/1948,"morro de costela, 73
vila da luz
54910873 da rosa / mg",RONDÔNIA
Dr. Otávio Costa,095.216.837-59,36,09/08/1987,"chácara da conceição, 2
juliana
64511082 campos das flores / ba",CEARÁ
Srta. Ana Beatriz Da Mata,429.807.615-67,91,28/01/1933,"feira de martins, 79
vitoria da conquista
46900111 campos alegre / pa",ALAGOAS
João Rodrigues,594.081.276-76,25,19/02/1999,"colônia duarte, 56
marmiteiros
09414-573 vieira de lopes / pe",PERNAMBUCO
Nathan Farias,521.097.438-32,39,12/01/1985,"travessa joana gonçalves, 44
lajedo
43222-218 barbosa / al",MATO GROSSO
Dr. Rafael Pereira,581.967.342-55,56,15/07/1967,"sítio isis campos, 81
distrito industrial do jatoba
70530-763 da cunha grande / ac",AMAPÁ
Júlia Pereira,871.263.590-12,29,08/02/1995,"lagoa santos
petropolis
36901-640 da cunha / mt",BAHIA
Dra. Laura Barbosa,031.769.482-04,67,23/12/1956,"ladeira de moura, 84
nova suíça
58827544 almeida de da mota / rr",MINAS GERAIS
Juliana Pinto,385.410.967-93,70,18/12/1953,"rodovia sales, 21
vila canto do sabiá
79051-262 mendes / pi",RIO GRANDE DO SUL
Joana Monteiro,138.960.745-39,55,29/09/1968,"parque de costela, 668
aguas claras
24355112 duarte / to",ACRE
Dr. Yago Da Rocha,698.157.432-28,75,15/06/1948,"fazenda cavalcanti, 859
alto barroca
69950997 rezende de goiás / mt",RONDÔNIA
Miguel Nogueira,869.312.407-22,56,12/07/1967,"quadra de ferreira
cenaculo
49974-369 barbosa alegre / pi",PIAUÍ
Isadora Da Rocha,725.134.690-70,95,20/02/1929,"via igor da mata, 81
laranjeiras
85218769 correia / es",AMAPÁ
Clara Costela,380.179.245-50,81,13/07/1942,"trevo joão pedro araújo, 7
sagrada família
68500851 cardoso do amparo / df",ALAGOAS
Dr. Enzo Gabriel Rocha,473.526.019-61,62,03/04/1962,"condomínio da cunha, 4
unidas
30425743 barbosa / pa",ALAGOAS
Maysa Monteiro,615.387.024-44,94,27/10/1929,"parque henrique teixeira, 32
grotinha
57134822 cunha do sul / rr",SANTA CATARINA
Maria Alice Da Rosa,710.863.549-66,29,09/05/1994,"vereda silveira, 8
bom jesus
17672142 costa paulista / rr",PARAÍBA
Maysa Lopes,196.075.284-76,60,30/05/1963,"avenida de araújo, 28
esplanada
01624-960 silva verde / rs",MATO GROSSO
Srta. Yasmin Jesus,586.104.732-44,91,28/05/1932,"fazenda letícia costela, 6
petropolis
61073-640 cardoso do campo / am",PARÁ
Mariana Costela,372.684.905-00,38,09/11/1985,"campo peixoto, 75
independência
20101298 sales / sc",RIO GRANDE DO NORTE
Clara Almeida,842.609.735-92,35,23/11/1988,"parque eloah costa, 91
são geraldo
63810102 da cunha / rs",ALAGOAS
Sofia Aragão,687.231.504-08,35,13/08/1988,"rua de santos, 955
ambrosina
57866655 silveira de costela / rs",MATO GROSSO DO SUL
Elisa Barros,546.180.379-20,27,19/01/1997,"estrada sales, 13
jardim felicidade
75253131 silveira grande / rn",ESPÍRITO SANTO
Joana Silva,349.051.867-57,24,19/09/1999,"chácara miguel fogaça
laranjeiras
52800515 souza verde / pe",PERNAMBUCO
Lorenzo Porto,812.943.670-13,63,14/05/1960,"avenida de araújo, 1
nossa senhora da aparecida
80268064 farias do norte / go",MINAS GERAIS
Vitória Barbosa,583.672.910-77,47,19/10/1976,"vale de monteiro, 267
marieta 2ª seção
18778381 rocha de novaes / es",SÃO PAULO
Alícia Da Rosa,035.689.421-51,83,05/04/1940,"trecho luana barros, 338
santa maria
59886-064 oliveira dos dourados / mg",MARANHÃO
Lucas Monteiro,739.164.508-75,97,11/12/1926,"parque enzo almeida, 62
piratininga
40855025 mendes de cardoso / ac",ALAGOAS
Rodrigo Caldeira,816.723.954-37,47,22/12/1976,"condomínio joana lima
piratininga
68175-021 aragão / mt",BAHIA
Luna Rezende,456.197.830-57,51,21/05/1972,"esplanada matheus da costa, 90
paulo vi
45629272 da cunha do sul / rn",RORAIMA
Diogo Rezende,680.419.253-24,80,01/12/1943,"residencial novaes, 84
vila da amizade
20541475 souza / pi",BAHIA
Anthony Da Costa,805.693.271-21,65,09/01/1959,"praia ian da mota, 383
nova cintra
10778-914 azevedo / ro",SANTA CATARINA
Maria Cecília Vieira,716.239.854-55,58,10/07/1965,"rodovia emanuel da cruz
nova esperança
55412380 barbosa / pe",AMAZONAS
Sra. Maria Julia Novaes,019.487.625-01,42,27/04/1981,"ladeira da cruz, 635
coqueiros
88216574 cavalcanti da serra / ba",PARAÍBA
João Pedro Peixoto,243.158.976-55,64,10/02/1960,"trecho cavalcanti, 3
acaba mundo
20198027 cardoso / pr",ACRE
Alana Fernandes,198.257.643-09,47,29/08/1976,"estação rocha, 975
marieta 2ª seção
56651-581 cavalcanti de silveira / sc",TOCANTINS
Sra. Mirella Rezende,247.910.538-50,50,29/08/1973,"vale de cavalcanti, 98
vila havaí
39064-438 da mota / es",ACRE
Gabrielly Moreira,608.432.751-62,52,18/09/1971,"lago caldeira, 363
barão homem de melo 1ª seção
77549-927 cardoso / am",MATO GROSSO
Sra. Sofia Souza,605.384.719-48,90,14/06/1933,"vila gomes, 366
serra
76107-117 da costa / pb",GOIÁS
Mariane Melo,735.619.820-77,74,16/12/1949,"rodovia ana beatriz cardoso, 97
etelvina carneiro
35020-490 da costa grande / pr",SANTA CATARINA
Lorena Souza,048.652.197-49,36,15/06/1987,"vereda sales, 83
ouro minas
23049-591 da mata / al",AMAPÁ
Fernando Da Mata,280.156.437-08,27,30/06/1996,"ladeira clara da cruz, 37
aparecida 7ª seção
12075780 mendes de pires / pb",PIAUÍ
Laura Cardoso,821.405.736-17,29,26/04/1994,"setor de costa, 1
nova america
31050205 da conceição / es",ALAGOAS
Marina Da Cruz,724.183.650-26,51,21/06/1972,"avenida castro, 718
santo agostinho
39257-743 sales paulista / pe",PIAUÍ
Maria Rocha,163.247.980-03,39,02/11/1984,"recanto isabel da conceição, 6
vila madre gertrudes 4ª seção
17777517 dias / rs",MATO GROSSO DO SUL
Pedro Henrique Almeida,318.764.950-57,46,25/08/1977,"núcleo de rodrigues, 95
maria virgínia
67632-408 jesus / am",AMAPÁ
Dr. Davi Luiz Nunes,604.579.123-16,88,19/08/1935,"setor de barros, 58
vila ouro minas
24854-759 rodrigues / sp",AMAPÁ
Vitor Gabriel Costela,175.409.326-43,56,15/04/1967,"praia pietra caldeira, 60
túnel de ibirité
60413-374 da mota dos dourados / go",MATO GROSSO DO SUL
Dr. Luigi Barbosa,641.739.085-39,99,24/11/1924,"quadra yasmin caldeira, 4
salgado filho
37428997 moreira do galho / pe",DISTRITO FEDERAL
Rodrigo Azevedo,687.410.953-75,22,06/12/2001,"praia de nogueira
califórnia
47799937 rodrigues / es",MINAS GERAIS
Pedro Henrique Cardoso,324.017.958-04,50,31/05/1973,"rua de castro, 65
vila jardim são josé
53839-720 fernandes paulista / pa",ESPÍRITO SANTO
Sr. João Cardoso,032.758.964-74,19,03/03/2005,"pátio antônio da mota, 79
maria virgínia
80967-589 da luz / pr",GOIÁS
Maria Julia Nunes,381.756.402-35,76,09/10/1947,"setor de ferreira
lorena
53700673 da luz / rn",MATO GROSSO
Fernanda Duarte,453.216.980-15,23,31/10/2000,"vereda da rocha, 6
bandeirantes
97565092 rodrigues do galho / ma",AMAZONAS
Marcos Vinicius Oliveira,280.153.796-95,81,02/03/1943,"parque de azevedo, 8
lagoinha leblon
23921-386 alves / al",MATO GROSSO DO SUL
Leandro Aragão,124.573.098-32,99,17/10/1924,"campo gabriela rodrigues, 9
piraja
67344423 porto do amparo / ac",RONDÔNIA
Maria Alice Vieira,832.506.714-44,68,04/05/1955,"via nogueira, 82
andiroba
03233-852 moraes / se",ALAGOAS
Ana Luiza Jesus,541.896.327-91,65,14/06/1958,não informado,BAHIA
Guilherme Cardoso,197.582.630-21,72,27/03/1952,"trevo nicole da cruz, 7
conjunto providencia
11509884 cavalcanti de minas / rs",SANTA CATARINA
Luiz Felipe Azevedo,439.160.725-52,49,19/03/1975,"campo erick fernandes, 464
são benedito
76887327 campos de mendes / ac",RIO GRANDE DO NORTE
Nathan Araújo,813.402.695-89,60,14/06/1963,"quadra de martins
nazare
23016-369 oliveira de minas / am",PARANÁ
Clara Ferreira,467.319.852-28,79,22/01/1945,"fazenda de ferreira, 76
conjunto paulo vi
54239086 nunes / ms",GOIÁS
Felipe Da Mata,634.920.187-69,85,02/12/1938,"estrada gabrielly rocha, 634
ouro minas
95202077 viana / pa",RONDÔNIA
Enzo Gabriel Azevedo,789.531.604-48,67,27/04/1956,"estação cardoso, 175
barão homem de melo 1ª seção
09804148 gonçalves do galho / sc",PARÁ
