nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
Enzo Gomes,910.528.673-59,52,16/07/1971,"Alameda de Pinto
Santa Amelia
18102-852 Moura / MS",Paraíba,Brasil,11766.6,Ensino Superior,0,Casado,12,Indústria
Nicole Rezende,158.472.603-26,25,25/04/1998,"Recanto de Cavalcanti, 348
Vila Nova Gameleira 3ª Seção
29940-422 Dias dos Dourados / TO",Amapá,Brasil,11535.54,Ensino Superior,1,Casado,7,Saúde
Bernardo Gonçalves,896.241.037-04,37,11/02/1987,"Largo Agatha Costa, 69
Vila Satélite
64283-220 Vieira / AP",,Brasil,7640.38,Ensino Médio,1,Solteiro,14,Educação
Catarina Sales,359.260.478-38,45,18/05/1978,"Área de Lopes, 1
Vista Do Sol
91107650 Jesus Paulista / ES",Tocantins,Brasil,11875.9,,2,,10,
Sra. Camila da Conceição,059.784.326-00,21,18/03/2003,"Travessa Luiz Miguel Caldeira, 81
Caiçaras
71700157 Rezende de Minas / MA",Acre,Brasil,4578.5,Pós-graduação,3,Solteiro,3,Educação
Marcelo da Luz,163.724.509-25,30,02/03/1994,"Rodovia da Conceição, 79
Estrela Do Oriente
02295325 Costela de da Conceição / RR",Bahia,Brasil,14568.68,Pós-graduação,4,Casado,8,Saúde
Luiz Fernando da Rosa,231.748.095-41,51,03/01/1973,"Condomínio Enzo Gabriel Peixoto
Santa Sofia
96969-443 Barros de Minas / AC",Sergipe,Brasil,6611.13,Ensino Fundamental,2,Casado,17,Saúde
Alana da Costa,289.571.460-67,65,07/10/1958,"Setor de Campos, 32
Granja Werneck
09735922 Barbosa do Norte / DF",Minas Gerais,Brasil,17638.52,Ensino Médio,2,Solteiro,34,Tecnologia
Diogo Nunes,975.103.624-07,53,29/04/1970,"Residencial Enzo Gabriel Novaes, 75
Tupi B
02189-226 Vieira de da Mota / PR",Rondônia,Brasil,7952.64,Ensino Médio,0,Casado,35,Educação
Davi Lucca Souza,716.895.023-12,42,23/10/1981,"Vale de Nascimento, 43
Vila Paquetá
31649-412 Ribeiro de Campos / BA",Tocantins,Brasil,5852.3,Ensino Médio,0,Solteiro,0,Saúde
Davi Luiz Rocha,596.710.483-66,28,14/10/1995,"Vale da Mata, 20
Trevo
60797943 Novaes do Norte / SC",Paraíba,Brasil,,Ensino Fundamental,1,Casado,7,Indústria
Eduarda da Costa,459.873.162-19,48,09/01/1976,"Vereda de Rezende, 9
Leonina
15744799 Costa Alegre / CE",Paraná,Brasil,8295.87,Ensino Médio,0,Casado,13,Educação
Clarice Moura,324.587.960-10,21,08/12/2002,"Colônia de Viana
Castelo
29915-336 Porto / MA",Alagoas,Brasil,,,0,,0,
Carlos Eduardo da Rocha,561.832.904-24,48,04/12/1975,"Passarela Cardoso, 92
Marilandia
61385535 Costela de Minas / RO",São Paulo,Brasil,7608.27,Ensino Médio,2,Casado,4,Comércio
Luna Barros,291.368.504-89,53,11/01/1971,"Jardim de Lima, 29
Novo Glória
51757-187 da Rocha / SP",Pará,Brasil,4151.77,Ensino Fundamental,3,Casado,9,Indústria
Juan Porto,143.857.269-73,36,23/04/1987,"Vereda de das Neves
Maria Goretti
86524-507 Fernandes de Goiás / MG",Roraima,Brasil,5770.53,Ensino Superior,0,Casado,7,Indústria
Juliana Duarte,403.891.527-14,56,23/06/1967,"Setor Silva, 401
Santa Rita
15558-267 Campos de Dias / RR",Tocantins,Brasil,4488.0,,1,,24,
João Miguel Costa,634.028.791-31,38,20/10/1985,"Jardim Luiz Felipe Porto, 42
Confisco
86837-452 Mendes Grande / AC",Rio Grande do Sul,Brasil,5162.99,Ensino Fundamental,2,Solteiro,14,Tecnologia
Carlos Eduardo Ramos,876.530.942-10,43,05/01/1981,"Trecho de Caldeira, 8
Outro
90227753 Cardoso / SP",Paraíba,Brasil,17741.49,Ensino Superior,0,Solteiro,19,Tecnologia
Luiz Fernando Correia,674.390.528-38,33,02/05/1990,"Campo Stella Nascimento, 816
Jardim Leblon
10784-458 Porto / RO",Pernambuco,Brasil,7883.09,Ensino Médio,0,Solteiro,4,Tecnologia
Maysa Teixeira,048.367.591-10,63,26/05/1960,"Viaduto de Ramos, 76
Marajó
82361-778 Rocha / AC",São Paulo,Brasil,3279.95,Ensino Médio,0,Solteiro,1,Saúde
Dr. Luiz Felipe Oliveira,782.653.419-46,19,11/06/2004,"Campo da Cruz, 49
Corumbiara
60738-649 Aragão das Flores / RN",Alagoas,Brasil,5273.73,Ensino Médio,2,Viúvo,1,Comércio
Thiago Ramos,614.905.287-76,49,26/02/1975,"Estrada Clarice Barros, 20
Vila Boa Vista
74329076 Moreira do Galho / PA",Sergipe,Brasil,9152.78,Pós-graduação,1,Casado,15,Educação
Agatha Cardoso,642.803.175-26,40,12/08/1983,"Trecho Santos, 55
Esplanada
12972-002 Teixeira / AM",Santa Catarina,Brasil,14866.16,Ensino Superior,1,Casado,14,Saúde
Kevin Gonçalves,830.127.694-04,61,02/12/1962,"Condomínio Davi Lucca Dias, 22
Vale Do Jatoba
88424-915 Mendes do Campo / PE",Espírito Santo,Brasil,,Ensino Médio,1,Casado,10,Tecnologia
Dr. Pedro Henrique Gonçalves,842.176.530-26,24,15/04/1999,"Área da Luz
Álvaro Camargos
61467-127 Martins Paulista / RS",Alagoas,Brasil,4525.76,Ensino Médio,1,Casado,1,Indústria
Letícia Dias,870.345.921-79,65,14/04/1958,"Ladeira Viana, 227
Ápia
79343-786 Moreira do Oeste / MT",Alagoas,Brasil,11368.63,Pós-graduação,2,Casado,26,Indústria
Luiz Fernando Nascimento,276.304.189-22,18,12/07/2005,"Loteamento de Campos
Silveira
96699439 Carvalho / RS",Rio Grande do Norte,Brasil,3403.87,Ensino Médio,1,Divorciado,0,Comércio
Caroline da Cunha,312.579.486-28,41,26/01/1983,"Viela Agatha Farias, 752
Teixeira Dias
80498-546 Pires / RN",Rio de Janeiro,Brasil,5022.8,Ensino Superior,1,Casado,21,Educação
Miguel Souza,546.980.172-11,76,19/06/1947,"Parque Ana Luiza Caldeira, 13
São João
50226-842 Vieira de da Rosa / PA",Santa Catarina,Brasil,9125.17,Ensino Superior,1,Casado,42,Educação
Yasmin Caldeira,940.812.637-87,35,13/09/1988,"Praça Isabel Fernandes, 70
Etelvina Carneiro
91805935 Barros Paulista / MS",Amapá,Brasil,7347.64,Ensino Médio,3,Casado,13,Indústria
Dr. Calebe Ferreira,237.496.018-87,47,15/03/1977,"Jardim de Ramos, 25
Solar Do Barreiro
23852-434 Silveira / CE",Espírito Santo,Brasil,6319.86,Ensino Médio,0,Casado,24,Comércio
Maria Eduarda Barbosa,356.041.289-70,20,29/12/2003,"Esplanada de Moraes, 36
Vila Nova Paraíso
10346786 Almeida / PB",Mato Grosso,Brasil,4282.59,Ensino Médio,1,Solteiro,2,Tecnologia
Dr. Benjamin da Luz,598.064.137-84,44,30/01/1980,"Núcleo Cardoso, 63
Santa Isabel
37981058 Silveira / PR",Goiás,Brasil,,Ensino Médio,0,Casado,23,Educação
Lavínia Fernandes,761.458.309-48,36,02/05/1987,"Viela de Moura, 52
Vila Mantiqueira
54163961 Vieira / BA",Mato Grosso do Sul,Brasil,6245.19,Ensino Médio,1,Divorciado,16,Comércio
Lucca Souza,952.371.864-91,42,20/01/1982,"Estrada de Pereira, 36
Vila São João Batista
87044134 Cunha / GO",Rio Grande do Sul,Brasil,13694.48,Ensino Superior,0,Casado,18,Indústria
Ana Beatriz Campos,580.216.934-60,24,15/03/2000,"Travessa Souza, 60
Pirineus
47442442 Cardoso de Goiás / MT",Ceará,Brasil,8911.94,Ensino Superior,1,Casado,1,Comércio
Dr. Nathan Ferreira,763.924.815-91,50,22/04/1973,"Feira Fernanda Rocha, 27
Corumbiara
78533872 Correia / SP",Pará,Brasil,6355.96,Ensino Médio,0,Solteiro,13,Saúde
Thomas Lopes,413.705.628-53,51,10/03/1973,"Rua de Costela
Nova Cintra
02405-871 Rocha de Rocha / PR",Amazonas,Brasil,10422.1,Ensino Superior,1,Solteiro,6,Tecnologia
Miguel Rodrigues,817.064.532-80,26,26/11/1997,"Estrada Gustavo Henrique da Rosa, 7
Virgínia
04848-082 Mendes / PR",Distrito Federal,Brasil,6439.76,Ensino Médio,0,Casado,0,Comércio
Pietro Alves,389.756.012-77,33,05/03/1991,"Trevo de Almeida, 99
Guarani
89526562 Fogaça de Freitas / MA",Piauí,Brasil,5033.64,Ensino Médio,1,Divorciado,15,Educação
Alexandre da Rocha,369.024.715-25,37,16/07/1986,"Estrada Campos, 6
Dom Cabral
51137-018 Peixoto / AL",Sergipe,Brasil,13407.58,Ensino Superior,3,Solteiro,14,Tecnologia
Marcos Vinicius Ramos,986.174.250-67,61,19/03/1963,"Conjunto Souza, 3
Granja Werneck
85518-556 Santos da Mata / SC",,Brasil,10024.51,Ensino Médio,0,Casado,23,Indústria
Sr. Levi Farias,481.675.029-02,38,23/03/1986,"Loteamento de da Cunha, 1
Savassi
07326109 Aragão de Minas / PI",Amapá,Brasil,,Ensino Médio,0,Casado,11,Indústria
Ana Sophia Cardoso,635.280.741-08,32,20/08/1991,"Núcleo Pereira, 63
Candelaria
77478088 Farias / AP",Roraima,Brasil,7444.41,Ensino Médio,0,Casado,5,Saúde
Caroline Gonçalves,489.136.502-15,18,16/05/2005,"Avenida de da Mota, 42
Madre Gertrudes
06754160 Peixoto de Rocha / DF",Rio de Janeiro,Brasil,7254.04,Ensino Superior,3,Casado,0,Educação
Stella Aragão,029.687.134-69,36,29/09/1987,"Distrito de Araújo, 55
Braúnas
75059-911 Porto de Lima / MT",Mato Grosso do Sul,Brasil,5235.69,Ensino Fundamental,1,Casado,14,Indústria
Lucas Gabriel Silveira,453.108.927-88,37,15/09/1986,"Esplanada Sofia Fernandes, 62
Vila Antena Montanhês
29767038 Costela / SC",Mato Grosso,Brasil,7608.42,Ensino Superior,1,Solteiro,15,Comércio
Beatriz Almeida,532.048.971-41,45,06/08/1978,"Lagoa Luna Cunha, 52
Vila Suzana Segunda Seção
28094309 Lopes do Galho / MA",Rio de Janeiro,Brasil,4624.49,Ensino Médio,0,Viúvo,6,Indústria
Marcelo da Mota,534.071.289-32,61,12/02/1963,"Trecho Bryan Araújo
Madre Gertrudes
61424151 Dias da Prata / BA",Rio de Janeiro,Brasil,18260.97,Ensino Superior,2,Solteiro,39,Educação
João Gabriel da Conceição,369.802.417-96,59,24/08/1964,"Quadra João Miguel Monteiro, 704
Boa União 1ª Seção
95049306 Souza / SE",Santa Catarina,Brasil,7466.23,Ensino Médio,2,Casado,37,Saúde
Bianca Nogueira,360.125.847-17,57,21/10/1966,"Trecho Correia
Novo Das Industrias
51545862 da Cruz Verde / PI",Ceará,Brasil,5019.06,Ensino Fundamental,1,Viúvo,35,Indústria
Esther Lima,136.570.824-17,47,26/02/1977,"Viaduto de Araújo, 95
Jardim América
19021-607 Ferreira de Fogaça / RJ",Rio Grande do Norte,Brasil,8200.62,,2,,16,
Carlos Eduardo Almeida,198.734.526-64,39,01/03/1985,"Vereda da Cunha, 570
Vila Mangueiras
43724-227 Mendes Verde / BA",Rio Grande do Norte,Brasil,4987.7,Ensino Fundamental,0,Casado,17,Educação
Dra. Maria Alice Dias,570.941.628-20,41,13/05/1982,"Esplanada Lopes, 41
Maravilha
52972006 Almeida / PR",,Brasil,,,0,,14,
Mirella Cavalcanti,741.653.208-62,21,05/04/2003,"Colônia Monteiro, 67
João Paulo Ii
36183-541 Nascimento de Cavalcanti / AL",Rio Grande do Sul,Brasil,10041.54,Pós-graduação,1,Casado,0,Indústria
Olivia Costela,962.513.807-21,23,07/11/2000,"Morro Lucas Gabriel Melo, 73
São Geraldo
43809-183 Porto / RS",Rondônia,Brasil,8914.03,Ensino Superior,1,Casado,3,Educação
Ryan Cardoso,486.352.109-05,48,24/05/1975,"Vereda Freitas, 75
Vila Jardim São José
53338238 Rocha / RO",Amapá,Brasil,3038.54,Ensino Fundamental,0,Solteiro,5,Comércio
Eduarda Rezende,432.179.058-14,56,19/01/1968,"Estrada Luiz Felipe Nogueira, 7
São Gabriel
13039-735 Pereira de Goiás / PA",Rio Grande do Sul,Brasil,5833.79,Ensino Médio,0,Divorciado,32,Comércio
Pedro Henrique Nunes,824.091.765-85,62,13/05/1961,"Praça de Santos, 29
Bairro Das Indústrias Ii
99210-066 Carvalho de Carvalho / PE",Paraíba,Brasil,14288.74,Ensino Médio,1,Casado,43,Indústria
Kaique Martins,258.093.147-32,52,30/10/1971,"Área Arthur Pinto, 3
São Bento
21374520 Oliveira de Alves / RO",Rio Grande do Norte,Brasil,,Ensino Médio,3,Casado,24,Tecnologia
Juan Pereira,302.796.518-21,35,24/10/1988,"Recanto Ribeiro, 61
Vila Formosa
76407696 Ferreira da Serra / TO",Rondônia,Brasil,4458.8,Ensino Fundamental,0,Casado,0,Tecnologia
Eduardo Alves,253.718.906-02,38,17/07/1985,"Alameda de Rezende, 84
Tupi A
92092-292 Duarte Verde / CE",Espírito Santo,Brasil,9111.79,Ensino Médio,1,Casado,18,Educação
Davi Lucca da Cunha,731.659.042-43,56,05/06/1967,"Pátio Pereira, 6
Mariano De Abreu
49807-022 da Conceição do Norte / AC",Acre,Brasil,14990.4,Ensino Superior,1,Casado,27,Tecnologia
Carlos Eduardo Fogaça,940.687.152-11,45,12/02/1979,"Quadra Gomes, 26
Petropolis
55430605 Gomes / SC",Ceará,Brasil,5572.64,Ensino Médio,3,Casado,23,Tecnologia
Alexandre Melo,216.859.340-05,23,29/10/2000,"Praia de Teixeira, 72
Vila Da Ária
15457-078 Martins das Flores / CE",Espírito Santo,Brasil,4070.33,Ensino Médio,0,Casado,1,Indústria
Caroline Ferreira,315.986.024-89,46,06/10/1977,"Quadra de Carvalho, 19
Novo Glória
49000121 Cardoso da Praia / RJ",Roraima,Brasil,5970.64,Ensino Médio,0,Solteiro,8,Educação
Amanda Correia,194.278.630-13,51,07/04/1973,"Chácara Nunes, 93
Marieta 1ª Seção
76808-667 Freitas / MG",Mato Grosso do Sul,Brasil,4773.74,Ensino Fundamental,1,Casado,10,Indústria
Ana Vitória da Cunha,561.374.092-52,40,19/11/1983,"Largo João Lucas Barbosa
Floresta
84319243 Cunha de Aragão / AP",Sergipe,Brasil,10055.4,Ensino Médio,3,Solteiro,18,Saúde
Maria Alice Barros,504.268.317-80,25,03/09/1998,"Parque Giovanna Carvalho, 2
Flavio Marques Lisboa
06483-066 Fogaça de Minas / MT",Mato Grosso do Sul,Brasil,3056.4,Ensino Fundamental,2,Casado,5,Educação
Ana Lívia Cardoso,028.659.371-86,48,27/09/1975,"Esplanada de Cardoso, 70
Inconfidência
80466159 Carvalho / PI",São Paulo,Brasil,9800.57,Pós-graduação,0,Solteiro,27,Indústria
Alícia Gomes,094.753.628-00,25,04/05/1998,"Colônia das Neves, 40
Vila Novo São Lucas
63206-801 Pinto / GO",Sergipe,Brasil,5623.45,Ensino Médio,1,Solteiro,7,Educação
Raquel Lima,261.309.547-43,25,22/07/1998,"Pátio Maria Novaes, 2
Nossa Senhora Aparecida
19439126 Correia do Campo / SE",Mato Grosso do Sul,Brasil,3004.24,Ensino Médio,3,Casado,2,Indústria
Ryan Moraes,476.309.251-07,42,14/07/1981,"Vereda Kaique da Conceição, 286
Alto Dos Pinheiros
41579-661 Ramos da Mata / CE",Distrito Federal,Brasil,,Ensino Fundamental,0,Divorciado,8,Educação
Breno Cardoso,018.659.372-40,62,13/02/1962,"Setor Emanuel Ramos, 47
Santa Margarida
72275-840 Moura / SE",Amazonas,Brasil,7826.3,Ensino Médio,0,Casado,0,Indústria
Lucas Barros,253.061.498-98,28,29/02/1996,"Aeroporto Vitor Gabriel da Conceição, 359
São Geraldo
36283801 Teixeira de Lopes / RR",Alagoas,Brasil,6474.73,Ensino Médio,0,Viúvo,9,Tecnologia
Eduardo Caldeira,205.736.489-56,49,18/07/1974,"Jardim Maria Julia Lopes, 5
Vila São Gabriel Jacui
21883095 Duarte das Pedras / RJ",Goiás,Brasil,5406.77,Ensino Médio,0,Casado,17,Educação
Daniela Campos,921.504.836-70,30,10/01/1994,"Praça Pereira, 8
Vila Engenho Nogueira
04088-248 Fogaça / TO",Goiás,Brasil,6585.73,Ensino Superior,1,Solteiro,9,Comércio
Larissa Cardoso,564.201.937-61,33,19/08/1990,"Rodovia Carvalho, 698
Santa Amelia
81022-262 Fernandes / AC",Santa Catarina,Brasil,4278.48,Ensino Médio,0,Casado,4,Educação
Arthur Nogueira,431.982.067-31,24,25/12/1999,"Quadra de Melo, 77
Maria Virgínia
23948451 Costa / RR",Rio de Janeiro,Brasil,5563.31,Ensino Médio,2,Casado,1,Comércio
Theo Novaes,162.458.709-76,30,29/11/1993,"Vereda de Novaes
Grotinha
00429-343 Melo / AM",Goiás,Brasil,6356.32,Ensino Superior,0,Casado,12,Saúde
Evelyn Aragão,094.731.826-78,56,26/08/1967,"Recanto de Gomes, 43
Vila Vista Alegre
53099184 da Paz / PI",Mato Grosso do Sul,Brasil,6200.31,Ensino Superior,0,Casado,8,Tecnologia
Levi da Cruz,827.319.546-55,34,08/12/1989,"Trecho Barbosa, 915
Paraíso
01410-410 Ferreira de Martins / ES",Rio Grande do Sul,Brasil,4514.35,,0,,16,
Sra. Gabrielly Jesus,695.820.713-03,27,23/06/1996,"Estação de da Rocha, 25
Nossa Senhora Do Rosário
85338-830 da Cunha / MG",Amazonas,Brasil,6290.33,Ensino Superior,0,Casado,0,Comércio
Dra. Mirella Moraes,830.926.541-70,53,07/09/1970,"Parque Agatha da Luz, 91
Vila Nova Cachoeirinha 1ª Seção
84282-286 Castro do Norte / PI",Amazonas,Brasil,11403.77,Ensino Médio,0,Casado,24,Indústria
Dr. Fernando Rodrigues,513.289.406-24,20,29/04/2003,"Distrito Vieira, 27
João Paulo Ii
73031235 Araújo Paulista / AP",Ceará,Brasil,1748.7,Ensino Fundamental,0,Casado,1,Comércio
Sr. Gustavo Souza,138.652.709-21,29,24/02/1995,"Via Maria Cecília Correia, 7
Baleia
83835-554 Gonçalves / RJ",São Paulo,Brasil,7640.44,Ensino Médio,0,Casado,7,Tecnologia
Maria Fernanda Cardoso,632.058.179-40,21,12/12/2002,"Largo Nicole Teixeira, 12
Cachoeirinha
84542046 Peixoto / RR",Ceará,Brasil,6319.03,Ensino Médio,1,Casado,0,Indústria
Isabel Almeida,423.980.756-56,29,17/08/1994,"Jardim de Silva, 2
Itapoa
92001567 da Rocha de Minas / SP",Espírito Santo,Brasil,5739.67,Ensino Superior,2,Casado,9,Indústria
Srta. Luana Nogueira,827.563.109-21,64,13/05/1959,"Residencial Isabelly Pires, 68
Vila Ouro Minas
53935-856 Oliveira de das Neves / RS",Paraíba,Brasil,5885.12,Ensino Médio,3,Solteiro,43,Indústria
Ian Novaes,391.075.864-93,22,10/10/2001,"Aeroporto de Moura, 759
Custodinha
30068-449 da Luz das Flores / SC",Alagoas,Brasil,,Ensino Médio,0,Casado,0,Saúde
Bárbara Cardoso,946.075.832-00,20,09/06/2003,"Jardim Rafael Melo, 65
Flamengo
72767-300 Cardoso do Galho / PR",Goiás,Brasil,4003.77,Ensino Médio,1,Casado,0,Saúde
Alana Cavalcanti,765.420.913-43,69,06/08/1954,"Estação Nicolas Lima, 946
São Cristóvão
73555751 da Luz / SE",Santa Catarina,Brasil,2783.99,Ensino Médio,1,Casado,4,Saúde
Dr. Joaquim Souza,135.276.048-71,42,13/12/1981,"Parque de da Luz, 714
Vila Havaí
68905763 Carvalho / GO",Rio Grande do Sul,Brasil,,Ensino Fundamental,2,Casado,6,Indústria
Luiz Gustavo Fogaça,576.234.910-16,65,01/11/1958,"Fazenda Fernanda Rocha, 69
Vila Da Amizade
95196853 Novaes de Barbosa / SC",Espírito Santo,Brasil,9617.3,Ensino Médio,2,Solteiro,37,Comércio
Clarice Santos,235.940.671-06,26,04/02/1998,"Distrito Isabel Cardoso
Santo Antônio
73522515 Santos de das Neves / SC",Santa Catarina,Brasil,1721.81,Ensino Fundamental,0,Casado,6,Comércio
João Duarte,325.416.907-70,28,17/06/1995,"Praça Lucas Gabriel Ramos, 10
Alto Caiçaras
59504720 da Cruz das Flores / RN",Rio de Janeiro,Brasil,4466.63,Ensino Médio,0,Casado,3,Indústria
Thomas Almeida,307.856.914-48,64,08/10/1959,"Jardim Enrico Ferreira, 67
Maria Helena
21645-084 Porto de Melo / AC",Santa Catarina,Brasil,6072.5,Ensino Superior,0,Solteiro,8,Tecnologia
Luiz Otávio Ferreira,135.849.602-15,43,11/09/1980,"Vereda de Costela, 7
Beija Flor
99073-840 Moreira do Sul / AP",Rio de Janeiro,Brasil,,Ensino Superior,1,Casado,7,Saúde
Sophia Teixeira,084.952.713-97,40,07/05/1983,"Estrada de da Mota, 176
Beija Flor
06894-160 Pires / RS",,Brasil,9872.45,Ensino Médio,1,Casado,9,Tecnologia
Marcos Vinicius Vieira,301.479.825-88,27,05/03/1997,"Viaduto Brenda Farias, 14
Mala E Cuia
44254-583 Moura da Praia / SP",Amapá,Brasil,2492.36,Ensino Médio,1,Solteiro,3,Comércio
Sr. Ian Pinto,941.807.632-22,44,15/09/1979,"Trecho de Silva
Vila Paris
79982434 Freitas / MT",Rio Grande do Sul,Brasil,9262.62,Ensino Superior,0,Divorciado,10,Saúde
Mirella Silveira,427.906.583-74,24,17/05/1999,"Lago Fernanda Moura
Nossa Senhora Da Conceição
55364-624 Moraes de Peixoto / BA",Piauí,Brasil,3779.47,Ensino Médio,0,Solteiro,6,Educação
Fernanda da Cruz,234.951.607-52,23,19/06/2000,"Aeroporto Sabrina Moura, 4
Santa Efigênia
53259125 Pires do Oeste / PA",Rio Grande do Norte,Brasil,5393.16,Ensino Médio,1,Solteiro,2,Tecnologia
Davi das Neves,105.768.249-76,22,03/06/2001,"Vila Diego Duarte, 286
Vila Vista Alegre
14903-313 Nascimento do Galho / MT",Ceará,Brasil,6989.98,Ensino Médio,1,Solteiro,1,Saúde
Rodrigo Almeida,690.815.437-84,35,01/01/1989,"Largo Ana Laura Fernandes, 5
Tirol
74072-812 Oliveira / SP",Pará,Brasil,6329.11,Ensino Superior,0,Casado,6,Saúde
Eduarda Monteiro,537.091.284-04,39,15/10/1984,"Vila de da Conceição, 495
Vila Da Luz
23905-505 da Rosa da Mata / PB",Maranhão,Brasil,18361.78,Pós-graduação,1,Solteiro,21,Comércio
Srta. Emanuella Mendes,584.371.290-79,54,25/03/1970,"Viela de da Conceição, 55
Floramar
09972966 Freitas / PA",Tocantins,Brasil,14842.79,Ensino Médio,3,Solteiro,24,Tecnologia
Sr. Lucca Pinto,513.298.640-42,24,01/12/1999,"Travessa Ana Lívia Fogaça
Penha
72241680 Costa / MA",Rio Grande do Norte,Brasil,3675.05,Ensino Fundamental,0,Casado,6,Comércio
Srta. Ana Carolina Silva,423.681.795-00,43,10/03/1981,"Praia Heitor das Neves, 29
Santa Monica
25762627 Fernandes de Costela / RN",Ceará,Brasil,3238.37,Ensino Médio,1,Casado,6,Educação
Alana Dias,041.798.635-10,90,06/02/1934,"Morro Gabriela Silva, 3
Serra Do Curral
20142051 Santos / ES",Paraíba,Brasil,4658.11,Ensino Médio,0,Casado,53,Comércio
Isabella Souza,216.850.347-80,23,03/02/2001,"Loteamento Aragão, 72
São Benedito
12199435 Dias / SP",Roraima,Brasil,7086.79,Ensino Médio,3,Casado,4,Saúde
Alana Teixeira,516.783.902-59,58,05/08/1965,"Travessa João Gabriel Souza
Nossa Senhora Da Conceição
76703612 Pinto / MS",Paraíba,Brasil,11449.46,Ensino Médio,1,Casado,27,Indústria
Benício Silva,068.752.341-90,30,26/09/1993,"Núcleo Caldeira, 905
Lourdes
42512-345 Ferreira / PI",Paraná,Brasil,3520.91,Ensino Médio,2,Viúvo,3,Educação
Eduardo da Mata,732.189.604-87,18,04/12/2005,"Estrada de Cardoso, 39
Ademar Maldonado
52495-809 Rezende / MA",Goiás,Brasil,4087.4,Ensino Médio,1,Solteiro,0,Tecnologia
Lucas Gabriel Ribeiro,598.327.604-29,27,01/11/1996,"Favela Santos, 44
Califórnia
25294-824 Sales do Amparo / MT",Alagoas,Brasil,3335.5,Ensino Fundamental,1,Casado,1,Indústria
Sophia Nogueira,107.923.468-31,22,05/09/2001,"Largo Duarte, 793
Vila Bandeirantes
09673-603 Aragão / CE",Pará,Brasil,2474.45,Ensino Médio,0,Casado,3,Indústria
Lucas Pinto,780.132.964-31,40,13/08/1983,"Via de Teixeira, 9
Santa Isabel
38983379 Souza / MG",Roraima,Brasil,,Ensino Médio,2,Solteiro,22,Indústria
Luiz Fernando Duarte,803.962.145-33,21,20/02/2003,"Morro de Dias, 71
Miramar
24816-440 Peixoto Paulista / TO",Rondônia,Brasil,6347.38,Ensino Superior,5,Casado,1,Saúde
Ana Julia Santos,456.830.792-92,34,01/03/1990,"Travessa Gonçalves, 96
Jardim Vitoria
57724977 Fernandes de Minas / RO",Paraíba,Brasil,10223.99,,1,,9,
Juan Rocha,841.506.927-85,80,09/12/1943,"Jardim Raquel Teixeira, 98
Maravilha
89854351 Gomes Paulista / SE",Goiás,Brasil,6619.41,Ensino Superior,1,Casado,44,Saúde
Srta. Bruna Almeida,241.378.905-79,26,23/02/1998,"Distrito Viana, 3
Vila Betânia
75217-345 Rezende / MS",Amapá,Brasil,3662.01,,0,,6,
Dra. Maria Alice Moreira,760.583.429-29,52,17/10/1971,"Estrada de Gonçalves, 572
Marçola
04757185 Barbosa / MA",Bahia,Brasil,10553.71,Ensino Superior,3,Casado,33,Indústria
Maria Vitória Correia,914.756.280-30,37,11/10/1986,"Campo Davi Lucca Caldeira
Vila Da Luz
40128885 Santos de Minas / MT",Piauí,Brasil,,Ensino Superior,0,Casado,2,Indústria
João Miguel da Cunha,271.564.938-09,39,11/01/1985,"Morro de Silva, 65
Vila Madre Gertrudes 1ª Seção
32996-098 Lima / RS",Tocantins,Brasil,7314.56,Ensino Médio,3,Solteiro,16,Educação
Daniel da Mata,560.127.948-94,57,04/06/1966,"Lagoa Duarte, 398
Vila Do Pombal
70492723 Santos / SP",Rio de Janeiro,Brasil,6570.73,Ensino Médio,0,Solteiro,25,Educação
Daniela Araújo,286.945.173-37,31,16/09/1992,"Trecho Santos, 9
Horto Florestal
83881592 da Luz de Moura / AP",Minas Gerais,Brasil,6380.97,Ensino Médio,3,Solteiro,3,Comércio
Raquel da Cunha,346.879.251-46,25,11/10/1998,"Viela Stella Ferreira
Conjunto São Francisco De Assis
62337-869 Jesus de Rodrigues / PA",Goiás,Brasil,5185.75,Ensino Fundamental,0,Casado,4,Tecnologia
Enzo Porto,291.456.738-37,34,26/03/1990,"Lago Kamilly Duarte, 72
Vila Sesc
63171261 Silva / DF",Sergipe,Brasil,4090.84,Ensino Fundamental,1,Casado,6,Comércio
Lavínia Pereira,213.849.560-42,24,15/12/1999,"Área Eduardo Almeida
Acaba Mundo
84004-507 da Rosa / AL",Bahia,Brasil,7308.82,Ensino Médio,3,Casado,2,Tecnologia
Anthony Moraes,567.482.091-02,59,27/12/1964,"Rua Barros
Alta Tensão 2ª Seção
11611-366 Araújo / MG",,Brasil,,,0,,4,
Lavínia Cardoso,213.086.459-70,79,22/07/1944,"Campo Maysa Lima
Vila Aeroporto Jaraguá
59188-502 da Luz de Minas / AL",Pará,Brasil,9108.68,Pós-graduação,2,Casado,54,Indústria
Júlia da Cunha,142.390.856-24,30,05/01/1994,"Rodovia Agatha Nascimento, 469
Vila Aeroporto Jaraguá
76580-915 Almeida / GO",Amapá,Brasil,4448.78,Ensino Médio,1,Casado,10,Saúde
João Felipe Pires,571.498.062-01,32,13/05/1991,"Viaduto de Pires, 88
Vila Copacabana
38648634 Santos / AC",Alagoas,Brasil,6924.86,Ensino Médio,0,Divorciado,1,Saúde
